編號,名稱,簡介說明,鄉鎮,地址,電話,緯度,經度,門票/收費,旅遊叮嚀,行車資訊,大眾運輸,停車資訊
1572,第四市場,位於臺中市東區南京路上的歷史建築「第四市場」，市府引進民間資源及創意活化，打造為兼具青年創業與文化蘊涵的景點，110年12月4日重新開幕，可串聯周邊帝國製糖廠、台中州廳、綠空廊道、台中公園，為台中舊城區注入新活力，具青創、歷史文化、觀光休憩等多元價值。歷史建築第四市場外觀保有太子樓的屋頂，室內以白鐵桌椅、舊市場斑駁招牌、文青閱讀專區打造出兼容並蓄的空間，獨特的風格成為台中熱門打卡景點。,東區,南京路36號,(04)22151977,24.14067,120.69358,,,,,
1571,毘盧禪寺,廟宇建築本身帶有歐洲浪漫的氣息，和一般傳統佛寺的中式建築有所不同，其中又以巴洛克式建築的大雄寶殿，氣勢最為出眾。寺後有環山步道，整體環境清幽，遠離塵世喧囂。毘盧禪寺附近風景秀麗，特別是「毘盧曉鐘」曾被列入舊臺中縣八景，附近還可順遊后里馬場及后豐鐵馬道，是喜歡宗教觀光及親近自然的遊客不可錯過的景點。備註：因沿途路燈較少，山間小路亦有蛇類出沒，晚間5點後不建議前往。,后里區,寺山路1000號,(04)25562633,24.28889,120.74363,,因沿途路燈較少，山間小路亦有蛇類出沒，晚間5點後不建議前往。,,,
1519,綠空鐵道1908,臺中車站自1908年全線通車至今已超過百年歷史，自從改為高架鐵道後，原有鐵路轉變為綠色廊帶。綠空廊道從大慶火車站至豐原火車站，長21.7公里，而綠空鐵道為其中一段，自臺中車站往南北延伸1.6公里。以舊鐵道改造的空中花園，保留鐵道文史遺產，串連鐵道文化園區、歷史古蹟及車站商圈等，從上空沿路漫步俯瞰綠川及舊鐵軌，多層次的景觀安排，讓你用不一樣的角度看臺中，步道沿途還佇立著許多雕刻長廊，紀錄百年來舊鐵路的許多回憶，獨特的在地景觀設計，也榮獲國內外許多大獎的肯定。,中區,建國北路沿路（國光路與民權路段區間）,(04)22289111,24.13554,120.68265,,,,,
1512,桃山瀑布,名列全台六大瀑布之一，位於武陵國家森林遊樂區內桃山步道的終點處，又名「煙聲瀑布」，海拔2200公尺，落差約80公尺，雨季過後水量驚人壯觀，水聲聲勢澎湃。瀑布前設有一觀景台，可以在山壁上找找日漸斑駁的「煙聲」二字。,和平區,武陵路,(04)25901020,24.43507,121.30166,,,,,
1505,大里杙樹王公,大樹的本體為茄苳樹，當地流傳一段嘉慶君遊台灣的民間故事，內容為嘉慶君一人行經這棵大樹，被匪徒襲擊時，樹上降下一紅衣異人擊退敵人。而另一版本是嘉慶曾在此樹避雨，因此這棵大樹被封為「樹王公」，又因枝葉茂密狀如傘，而有別稱「涼傘樹王公」。?,大里區,東興路201號633 巷,,24.10992,120.67428,,,,,
1504,潭子國小日式校舍(尚未開放),歷史建築潭子國小日式校舍為日治時期所興建之教員宿舍，潭子國小日式校舍於民國101（2012）年12月公告登錄為市定歷史建築。潭子國小日式校舍的沿革代表台灣初等教育的發展，至今保留五棟官舍，建築格局完整、保存良好，具歷史價值，其中一棟獨棟高等官舍，推測屬於校長宿舍，另四棟雙併判任官舍，則為教職員宿舍，在空間規模、形式以及機能上，皆與同時期的台灣日式建築及日本國內建築?型相似，反應台灣在日治時期日式木造宿舍的特性。日式校舍建築形式為傳統日式建築，宿舍屋頂鋪設水泥瓦，為和瓦樣式，牆體為編竹夾?牆，外裝則為雨?板，另屋面構造的防水層採用日治中期前較為普遍的檜木皮，屬於傳統防水層作法之一。因歷經多次風災及年久失修，導致屋瓦錯位多處漏水、木料腐朽損壞及部分建物倒塌，具有修復急迫性。為保存文化資產，修復工程於108年1月18日開工，針對遭白蟻侵蝕、腐朽的木構件予以抽換、整修，並進行結構補強，同時拆除後期增建物以恢復歷史建築氛圍，並增加必要的消防、機電設施，今(110)年9月11日完成修復。未來將作為潭子國小教學空間使用，也將委外經營，同時結合在地市定古蹟摘星山莊、潭子農會穀倉等，串連成觀光新亮點，帶動潭子文化觀光產業發展。圖文出處：臺中市政府文化局,潭子區,潭子區南門街1巷,,24.21486,120.70432,,,,,
1503,環山部落,動植物生態資源豐富，相當適合安排兩天一日的深度旅遊。環山部落主要由泰雅族所組成，為梨山地區規模最大的泰雅族部落。現今部落居民多以種植水果為主要經濟來源。部落中的「泰雅民俗文物館」展示泰雅族編織工藝、老照片，還有部落領袖先前使用的木屋與穀倉，年代久遠值得一看。近年部落廣植紫藤花，於春季時節紫色花穗隨風搖曳，吸引許多遊客上山賞花。,和平區,,,24.31891,121.29462,,,,,
1502,儒考棚,走過百年歲月，是目前國內僅存的清代考棚建物，於95年公告指定為市定古蹟，遺構歷經搬遷，僅剩局部建築結構，市府為妥善保存文化資產，以新舊工法搭配使用保護清代既有屋架結構，讓參觀民眾了解傳統建築文化之美，並於110年委託民間公司營運，邀請民眾走進展覽與咖啡的跨界藝文空間。,西區,府後街38-8號,(04)22216573,24.13705,120.67681,,,,,
1501,中央書局,三層樓高的半圓弧形建築，米白色的外觀掛著中央書局的金色字樣，難以想像這是座老書店。中央書局在設計上貼心地保留採光最好的區域設置為座位區，更結合了咖啡廳及工藝選品，也有親子館及童書區，很適合悠閒的下午在此來杯咖啡配上一本書。,中區,台灣大道一段235號,(04)22259024,24.14085,120.68116,,,,,
1500,聚奎居,「聚奎居」建造於日治時期1930～1940年間，是當地最大富商陳紹宗先生的私人宅第，「奎」代表文昌星，命名「聚奎居」意在期許子孫以文入仕，功成名就，家宅文運昌隆。當時曾有一句諺語「無錢找文堂，無米找聯芳」，陳紹宗先生就是聯芳米行最大股東，在當時不僅擁有大片田產，在台中現在市府附近的店面也多數屬於他的產業，可謂是富甲一方，「聚奎居」也成為在地仕紳商賈的聚會場所，獨有的中西合璧建築風格，顯示屋主當年雄厚財力；惟時代更迭，過去種種不勝唏噓，房屋所有權早已易主，「聚奎居」荒廢多年後經多方爭取，成為私有產權的台中市定古蹟，修復後於2020年12月對外營運開放。當中式遇到西式會擦出什麼火花？「聚奎居」之美在於主樓採取仿巴洛克西式風格二層建築，左右護龍則保留傳統三合院ㄇ字格局，與傳統風水之如意池與牌樓，施工採用當時高級建築「洗石子」與「磨石子」工法，每一個建築紋飾花樣手工細細打造，光從建築外觀的霸氣就能展現出主人家的財力雄厚。不論西式風格的婚紗，還是中式婚紗，都能在「聚奎居」找到最美的拍攝角度，是婚紗攝影推薦最佳實景之一，管理單位貼心提供新人專屬更衣室與化妝台，讓每對新人備感幸福滿滿。園區提供旗袍租借體驗，來聚奎居不妨換上旗袍，穿越古早年代，認識古蹟歷史，探索當代文化，秒拍絕美意境照，遊客可以感受古蹟的每一處美景。「聚奎居」擁有獨特的封閉環境，成為私人派對與戶外婚宴的優選場地，在古蹟中大啖美食，又能保有私人隱密性，包場派對絕對是最佳選擇。「聚講堂」是聚奎居目前最受歡迎活動，每個月有不同的生活美學課程，也有簡易團體DIY手作體驗，來聚奎居不是只有拍照打卡，也可以豐富生活，增添樂趣。「聚選物」內有多家優質文創選品，買份聚奎居專屬伴手禮，帶回美好記憶與家人朋友共享。圖文出處：聚奎居?,烏日區,學田路405巷36號（便行巷進入）,(04)23386139,24.11932,120.6065,全票$100元：一般民眾。優惠票$50元：臺中市民，65歲以上民眾，3歲以上未滿6歲之兒童。免費入園：設籍於臺中烏區日學田里之民眾，未滿3歲兒童，持有身心障礙證明者與陪伴者1名（不分國籍）。,本園區無汽車停車位，建議搭乘大眾工具或將車輛停在學田路上，自便行巷步行1分鐘即可抵達。,,,
