餐廳名稱,電話,地址
貴賓樓餐館,04 2587 3111,台中市東勢區豐勢路922之2號
東勢田媽媽(品佳小吃部),04 2587 0502,台中市東勢區東蘭路34-7號
阿木大眾餐館,04 2587 3865,台中市東勢區中山路69號
味味香客家庭園餐廳,04 2588 5616,台中市東勢區石城街石山巷11之1號
東勢福湧樓客家料理,04 2587 8020,台中市東勢區豐勢路926巷24之1號
一品園平價現炒,04 2577 3585,台中市東勢區北興里中興街60號
一品園平價現炒,0928-970438,台中市東勢區北興里中興街60號
津味小館,04 2577 4359,台中市東勢區中盛巷25號
三葉小吃店,04 2587 6117,台中市東勢區豐勢路中盛巷10號
憶鵝時客家小炒,04 2520 3299,台中市豐原區豐陽路101號
新加坡客家美食,04 2572 4112,台中市豐原區豐勢路二段1062之1號
石岡傳統美食小舖,04 2572 1490,台中市石岡區豐勢路889之1號
新味小吃部,04 2572 2531?,台中市石岡區豐勢路800之1號
鼎豐饌餐廳,04 2582 3600,台中市石岡區豐勢路1238之9號
五福園客家餐館,04 2581 9279,台中市石岡區豐勢路881巷1之1號
石醃缸餐廳,04 2582 0200,台中市石岡區豐勢路772之8號
湖洸山色,04 2572 2725,台中市石岡區石城街100號
土牛客家小吃,04 2581 3498,台中市石岡區土牛里豐勢路399號
山江客家料理餐廳,04 2595 1667,台中市和平區東關路一段137號
水聲會客室,04 2582 5008,台中市新社區中正街26之3號
胡明月山房,04 2582 2386,台中市新社區中興嶺363-168號
震樺餐廳,04 2581 5988,台中市新社區協成里協中街169號
陶莊客家美食館,04 2439 1819,台中市北屯區東山路一段377-16號
欣燦客家風味餐廳,04 2534 5178,台中市潭子區興華一路219號
老王客家菜,04 2473 4633,台中市南屯區東興路二段7號
范小哥客家小館,04 2380 1043,台中市南屯區三和街30號
彩姨客家小館二店,04 2473 0878,台中市南屯區文心南三路210號
客家本色文化餐廳,04 2254 5252,台中市西屯區市政北二路301號
客家本色文化餐廳,04 2463 5252,台中市西屯區福科路502號
客家本色文化餐廳,04 2329 2929,台中市南屯區公益路二段118號
客家本色文化餐廳,04 2492 5252,台中市大里區中興路一段177號
元園廖媽媽的店,04 2296 0667,台中市西屯區文心路三段205號
酒足也飯飽客家小館,04 2461 1468,台中市西屯區福科路528號
姊弟客家菜,04 2203 3671,台中市北區梅川東路三段156號
鴻運客家餐廳,04 2336 1456,台中市烏日區中山路二段153號
老王客家莊,04 2371 4812,台中市西區五權五街73號
美濃客福人居客家小館,04 2302 3658,台中市西區向上路一段99-3號
瑞丘農莊,04 2372 3255,?台中市西區存中街61號
皇津客家小吃,04 2686 9115,台中市大甲區經國路359號
桐花順餐廳,04 2632 1982,台中市龍井區藝術街62號2樓
